,nickname,lane,team,country,tier,point,name,accountId,id,puuid
21,FATE,Mid, SANDBOX Gaming,Korea,Challenger,"1,253",SANDBOX FATE,1SQi-cvw6PWKcfhAEBisyXbtZdwCVMIE5aXAm5Ii8VwaOpZERCGbjIuH,jXGm2QqhN5rIQgfSvaZu9XnVK4e2TPpI71h0zqamhmYh9ye_,qzyfQ4fGsGY0GNBJY5FYZZCthheMo6-Er1wduExt44H9_wZ_lYXie4E31-o6AVL34_2qWcxZ53cvSg
22,Trigger,ADC,No Team,Korea,Challenger,"1,227",UijU,O0RxbCKaBNsmVaYechrwu9r8XcfltU-b16MXEMh2lSA9-FGk-EyjVjfu,5f-aQV4lGszHsBZoEHvDd0OuSnLkhumjIjGjLfBJidXxUSo,15kr6KGipZFCvknUiD7nkyIQEZpephvs04lGwC9XXvBG-xPAGlYhdzvT2qtSJoSxLddwtiYxOAtazw
23,Bonnie,Jungle, KT Rolster Academy,Korea,Challenger,"1,220",KT Bonnie,OkiXeJKBY-L8ndRQVEMBZgUj6KbKoMzVoHsoNCWwDQLtzvsIa4qzpObP,co3AMUJjDiF4kHHENINvCGyM2RA7SyFm9CelSXkZ561JL3Ok,vwhSDNh8xiYUg5qSZDiLwBTDdO0jCJvywaFlL6TIzagptw4fI7pib16w_sH9RV5NEv9P5RgUBAfMkA
24,Jiejie,Jungle, EDward Gaming,China,Challenger,"1,214",EDGzhaoQX888765,TPAupQShkKQiB5Zu6FfTrWvgkHzffV1VFvhxYxLojMbim3ptsP2TrTDo,hcfTA84lxOBLpca7Y-iJA8I-_jcZmPgrvErIasM9DhQM3oE,iQf-RdexKWTpBnOrCckbExh8PbzYVdJ-TzlqR4OzVG6Dn4K6v1BLWldCr_KJtfJQBp7QJ-wAUvLQqg
25,Burdol,Top,No Team,Korea,Challenger,"1,203",버 돌,Zls-ixd00WYnGt8tOn4yAgS8rhll6Y9LPU6uK6SRzcEVGsY,zeH7QW1JlbgbI0siIWHYpkj-XNGc-xh8fflFzEpfEoeg2xY,RSUo0VX_o7Wx6Gwda7iu_a9Wrp1ruVkBJCiH1xowvahjbEoZE8jMZyUSwKfj7vdp7j-fmv_gUYz9LA
27,Karis,Mid, Gen.G,Korea,Challenger,"1,192",Gen G Karis,Vje0h4MyNn6xCZv5bysYTV1WGvAN5-m_bGqbOoa0sSW9Uk5YdlpBGr73,3LzSdme9RlgXy1TydiAqNZHKD3Wrti-NjmwXnehZcEzQpII,-aGGh1o8OLpqwMpWPawM2S6ZSGu7yfveR4h4xQXlhMMO37Rot-2RoSZJ6lH7wbNg8uSir0kgnFcA2Q
28,deokdam,ADC, Team Dynamics,Korea,Challenger,"1,187",deokdam,VKs2zTUgNPb8zz2-CU3S0sNyr6FEyRWTCAfdRLbj_-I65yw,ySiwi3THSH_eyMbac8XsyFobMm9h3WHY-1jYmxZqkh6Zku8,r_kOYt36TnaTe97dFWTt02EYyd0DMywPmcKDwK6QG1SQ8ZTY_ts2UmCi3fgrOsnZ4UuyMa13z1LUPQ
29,Kiin,Top, Afreeca Freecs,Korea,Challenger,"1,182",오뚜기3분미트볼,bKRuNNe9P8BLdtyf2UnTQoKPtzMV9nwFY53G3u4SX5cfhQY,l1ZkFNQYI8LwMoM17PrlVEjG8eYsnb_WfS80FV_7jAhsWjc,P-xMuyQPNcVvRS8PH3YnAx95JkxshT24vR5JAg-kNM7hWutANs6gm4Yk8dC9lb9ATiw1pTpXXLamLw
30,Mireu,Mid, T1 Academy,Korea,Challenger,"1,177",T1 Mirzz,O3qSAbFChAhBLNiqsKL5o5u9JFM_Pv2GJaJR710jmH7T3Tc,7kXGHrOTYFdJ9bqppqMca_pQCa0HNvOyawmYcUN21qKSnlI,Mva2M_SbxYntVxNnci0QsgFRq2_xHD4fkTR3S76RaY5bqSYAjbGdsWCI6K5rVvtFqyZrDPX0doaEpQ
31,Bdd,Mid, Gen.G,Korea,Challenger,"1,174",기찮게하지마,SUIjFFDKP2PWyVYN-BKg-O4hXlx-8iNY8C5AbjnOGLylztYAkCLMR2xq,RY8T6VOhw_Kt-ace8IpL4e-XJN6AXdLvr4lsHjj4fg4lWkk,o-e04WOPIxCFMeKDdNCAwjmSV0Ormiy0Urhl2_FSa6XZypt4G920fQwYxEBV212rWh51c5fBHMIGQQ
